Series_reference,Period,Data_value,STATUS,UNITS,Subject,Group,Series_title_1
CPIQ.SE901,1935.09,15.941802,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1935.12,16.808204,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1936.03,15.980308,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1936.06,16.577163,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1936.09,16.90447,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1936.12,17.347299,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1937.03,17.636099,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1937.06,18.309967,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1937.09,18.406235,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1937.12,19.29189,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1938.03,18.964583,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1938.06,19.195623,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1938.09,18.964583,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1938.12,18.964583,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1939.03,19.599945,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1939.06,20.004265,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1939.09,20.408587,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1939.12,21.679309,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1940.03,20.4856,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1940.06,20.755147,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1940.09,20.60112,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1940.12,20.928428,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1941.03,20.735894,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1941.06,20.966935,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1941.09,21.043948,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1941.12,21.987364,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1942.03,21.005441,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1942.06,21.294242,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1942.09,21.775577,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1942.12,22.584219,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1943.03,21.525283,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
